Date,FTSE 100
01/2009,8794.909819573202
02/2009,8180.952348892709
03/2009,8425.494164075275
04/2009,9140.496757531122
05/2009,9568.08681182168
06/2009,9240.598536223371
07/2009,10032.922372861012
08/2009,10752.781668095913
09/2009,11264.26152688532
10/2009,11076.531315909022
11/2009,11458.385569267926
12/2009,11957.671452071401
01/2010,11468.448136495133
02/2010,11900.54533402579
03/2010,12673.54759636352
04/2010,12417.196210998667
05/2010,11658.239666830927
06/2010,11073.875914852988
07/2010,11857.290204239422
08/2010,11843.593945890923
09/2010,12597.519157086324
10/2010,12902.890772117556
11/2010,12608.525167114103
12/2010,13467.30402083436
01/2011,13392.847558449104
02/2011,13745.761405280213
03/2011,13616.04774387209
04/2011,14020.422214789676
05/2011,13886.922047626456
06/2011,13831.091003987109
07/2011,13536.90190580875
08/2011,12640.64397982061
09/2011,12041.343090975475
10/2011,13028.851392990777
11/2011,13009.12606426434
12/2011,13172.063186797755
01/2012,13441.656532743165
02/2012,13967.601856358211
03/2012,13782.694076386522
04/2012,13743.95586286916
05/2012,12813.126192636528
06/2012,13458.994774479905
07/2012,13623.960935762187
08/2012,13906.776696230341
09/2012,14007.117864772059
10/2012,14129.876880862605
11/2012,14398.511581518032
12/2012,14481.980356034206
01/2013,15426.119805744958
02/2013,15700.899174928321
03/2013,15907.447303704737
04/2013,15996.486902132365
05/2013,16450.428694900143
06/2013,15585.032316000836
07/2013,16613.854666313797
08/2013,16206.839009654952
09/2013,16349.991967853564
10/2013,17058.75887527995
11/2013,16916.817871383166
12/2013,17182.519577474643
01/2014,16588.09286339964
02/2014,17423.161756688718
03/2014,16964.6332544051
04/2014,17488.12189521854
05/2014,17727.421319491383
06/2014,17506.52579197591
07/2014,17486.15376514478
08/2014,17845.233504758507
09/2014,17349.648144799252
10/2014,17177.046582569717
11/2014,17707.144949882575
12/2014,17306.002093856634
01/2015,17806.260541112468
02/2015,18397.63698427665
03/2015,18037.348449319918
04/2015,18605.638628988567
05/2015,18739.80968003508
06/2015,17539.187945602607
07/2015,18023.241427604968
08/2015,16948.58643452847
09/2015,16463.653774794406
10/2015,17315.444419259424
11/2015,17371.482868290008
12/2015,17073.951492943197
01/2016,16649.551592209533
02/2016,16786.013382001176
03/2016,17084.564508747986
04/2016,17327.25961633714
05/2016,17380.129136065527
06/2016,18200.241543864526
07/2016,18825.92003516237
08/2016,19140.086882621843
09/2016,19484.304905510653
10/2016,19685.15486484745
11/2016,19289.429425794373
12/2016,20325.068513128124
01/2017,20209.2139938836
02/2017,20833.195630697926
03/2017,21065.246132893903
04/2017,20784.477970057786
05/2017,21806.05307649076
06/2017,21273.03829914785
07/2017,21455.884463607654
08/2017,21806.26768825684
09/2017,21659.164945618177
10/2017,22052.380986744032
11/2017,21657.722979625927
12/2017,22746.796941602664
01/2018,22300.738824203338
02/2018,21542.670638491425
03/2018,21103.62037512261
04/2018,22545.89545174982
05/2018,23176.18868832319
06/2018,23121.995071254216
